name,value,count
Text_3,"loved the original, finished singleplayer 3 times (ps3 and ps4), multiplayer was absolutely amazing, one of best multiplayer modes. why is multiplayer gone from remake is beyond me. also there's no discount for owners of the ps4 remaster. i am not paying $70 for a game i already paid for 2 times and it lacks multiplayer. big disappointment.",342
Text_10,"what a waste of resources and time.
after this colossal flop maybe someone high up there at sony will wake up and send lil jimmy working in a farm, where he truly belongs.

until then, y’all enjoy those overpriced and useless remasters and directors cuts.

0/10, scam",267
Text_12,"i can't rly put in words how much nd disappointed me the last years.
i've been such a huge fan of the original game and of the uncharted series. nd was by far my fav developers.i even thougt part 2 was an ok game w fun mechanics.
but 70$ for smth i played for free on the ps5? how can someone be so disgusting to their fanbase? i can literally buy 3-4 maybe even 5 games on sale w that",385
Text_21,"original tlou it's one of the best games ever, played it several times on ps3 and ps4, i don't wanna play it again even for free, but 70$ for literally the same game, yes, better graphics, so what? where is the multiplayer? this is not a remake, it's a reremaster. where is the fundamental upgrades like in re2 remake? none, cashgrab, gg sony and nd. keep up the good work.",373
Text_22,"once my favourite game, now turned into a ridiculous cash crab. i will never again invest my time and money in any naughty dog's products. not worth the money. goodbye.",168
Text_23,overpriced cash grab with no multiplayer mode and very minor gameplay improvements.,83
Text_24,don't believe the mercenary dogs of sony. they're bunch of hungry dogs and buy everything from sony like sony boii do,117
Text_25,"a blatant and shameless cash grab by sony, nothing is improved other then the graphics. if your going to call yourself a remake then you'll be compared to other remakes and be held to the same standards as other remakes.

no new levels/locations
same soundtrack
no new bosses
no new enemy's
no new weapons

nothing you get nothing for your $70",343
Text_26,"look the game is great and the graphics are almost photo realistic. if you never played tlou its a great buy. for €79,95 its a terrible package however. with less content than the (€59) ps3 and (€39) ps4 games this game is a blatant rip off on a very loyal fanbase, don't support it! my wife purchased this for my bday as i am a big playstation/game fan but i felt bad she paid so much for it",392
Text_27,"if you put gameplay and story over better graphics, dont buy this game and just buy the ps4 remaster. this game has nothing to do with a remake. it is just a re-remaster with better graphics.",191
Text_33,"it is wrong to promote this as a remake. it is right to say that it is a re-remaster.
it's not cheap, but it's gotten more expensive.
i don't understand people who praise blindly...",181
Text_35,"10/10 game, 0/10 because cash grab. if you’ve already played it on ps4 wait for a sale.",87
Text_36,this remaster of a game that didn’t need a remaster should not be £70!!! sony is a joke of a company,100
Text_37,reason for this score is purely based on the price. it's kind of disrespect for the fans to release at such high price and since the only upgrade was graphical. developers are not their fault but sony is.,204
Text_38,"its amazig games but 70$ for remake to much , i wana see this remake in ps plus extra !",87
Text_39,"the game is heilerus,! no reference at all, making some snap chat filter and make it 70$ is a disaster!!
hope sony stop this gold digging or they will lose everything.",167
Text_40,absolutely embarrassing cash grab. don’t support trash like this it will only show developers it’s okay in the future. they touched up the graphics and removed multiplayer for 70$ boooo,185
Text_41,"exact same game with the remastered version, hell, even the original 2013 version. they didn't even update the gameplay to the same thing as part 2, and made the characters much worse looking. it's such a cash grab.",215
Text_42,". . . waste time !!!!!!!!
its old game !!!!!!!!!
price is insane!!!!!!!!!
::::",78
Text_44,"i'm torn.

if i'm just reviewing this game and i had never played the original the last of us, this would be fantastic. it would be game of the year. the story, the visuals, the atmosphere, the gameplay, it is all fantastic. this game would absolutely compete with elden ring for the goty title. but...  i just recently played the original the last of us and while the game is dated in",387
Text_48,"graphically excellent, but nothing more, it's a shame they missed the opportunity to add mechanics from the last of us 2, the same as 10 years ago but at 70 dollars.",165
Text_50,i don't work in the gaming industry and i am not a game developer but i'm not stupid enough to think that the developers didn't put any work into because they clearly did work hard. visually in terms of graphics it looks just as good as part 2 but there's really not much else to say in terms of what they have changed. it's mostly the same experience so i only recommend this for people who,391
Text_54,this is just an expensive re-remaster. save your hard earned cash on a more deserving game.,91
Text_55,"too expensive, watched a full walkthrough and is literally the remaster with better lightning and some last of us 2 copy paste features.",136
Text_56,a cash grab if i've seen one. no additional content make that a biggest fu to gamers yet.,89
Text_61,expensive 30$ is good.too fast remake and lou2 is toooooooooooobad.never buy this,81
Text_64,"updated assets, did a good job with the light. there is nothing new in the gameplay (and the gameplay is already old). but asking for 70 usd for this is too much. discount for those who have already bought it (because it is an update no more). plus it should go for free in ps plus.",282
Text_66,"this supposed ""remake"" was developed in 13 months. from april 2021 to may 2022. (it went gold 3 months before launch.) the original game took over 5 years.

the reality is that this is a further remastered version of the original game being touted as a remake. all original game code is still running underneath the new veneer. yes, most of the visual assets were redone, and there were a",388
Text_70,it has to be a $10 upgrade for ps5. there is nothing about remake. it is a big lie.,83
Text_71,"very disappointing cash grab unnecessary remaster, remastered. it’s easier to remaster a game twice then making something new.",126
Text_73,just get the remaster for cheaper from gamestop on ps4 its really not that different,84
Text_75,"the last of us part 1, to put it simply, is a cash grab to try and bank on the nostalgia of the oldest fans of this franchise. even though neil druckmann assures that this is a remake, i can confidently say that it is not. it is the exact same as the 2013 release, with missing content (the multiplayer) that costs more than the original.

although the graphics do look nice, they're just",388
Text_79,"excellent masterpiece from the past,'the last of us part i' are fully updated in graphic technology,the whole experience is wonderful.

review of ""the last of us part ⅰ""

graphic/art: 10

music/sounds: 9.5

narrative/performance: 10

gameplay: 9.5

score: 10",258
Text_80,"very expensive price!!! i have all versions, why i sell this old remastered game for $70",88
Text_82,"naughy dogg says a lot of work went into this remaster, i understand that, i just cant wrap my head around the price ((its insane)) when you consider cd project red will released the witcher 3 remastered for free. both tlou 1 & witcher 3 are my fav games of all time, but when you charge not 1 price but 2 for a 3rd remastered game i cant help but feel naughty dogg wants to rob me, its",386
Text_86,"jogo incrível, gráficos perfeitos e jogabilidade impecável, apenas a dublagem que ainda continua com os bugs do play 3.",119
Text_87,"i played the last of us for more than 10 times and this one blew me away again and again and again ...
a true masterpiece with best graphics ever made.
begin of an incredible journey...",185
Text_88,those who have not passed the original or remaster - must pass remake. it's a great remake. i approve.,102
Text_89,just as beautiful as the remastered this is the first game i played and i still love it,87
Text_91,a huge improvement on a true masterpiece. to take away from the game's rating due to it being full price is like saying that blade runner on 4k blu ray isn't as good as the vhs version because they're selling it at full price. the work and care that has been put into this remake is evident as soon as you start the game. whether you think it's needed or not. there's no denying that this is,391
Text_96,"i dont think theres much anyone can say to tell the game is marvellous and spectacular in every single component, a complete refreshed overall of the facial animations, graphics, environments, gameplay mechanics, of course the adaptive triggers are very interesting even though i havent gotten much use to it yet, one specific detail i appreciate is the weapon upgrades, the fact that now you",392
Text_100,"great game with improved visuals. my recommendation:
- wait for it to be on discount because is the same game. nothing impressive.",130
Text_101,"i give 10, because playing the game now on ps5 still gives me the same feeling of masterpiece as when i first play it on ps3 9 years ago. this intact feeling make it completely worth the money. this is one of the best video game of all time, it is now with graphics up to the latest technology.",294
Text_104,"charging 70$ for a graphics mod? which has less content then original and does not even features part 2 combat.
sony and nd if other companies will be inspired by you, remaking games that are not decade old you both be to blame because i have a feeling cheap cashgrab remakes will became trend in already **** period for gaming industry.
 save 70$ for gow ragnarok and if you've never",385
Text_108,"traidores, jim ryan corrompeu até a naughty dog, seus malditos venderam esse jogo como exclusivo e agora dominados por ganância vão lançar no pc, desejo que o playstation vai a merda e vocês todos traidores, nunca mais compro nada da sony, traidores.",250
Text_110,"people at naughty dog and sony are freaking genius. what an astounding economic and marketing move! after the divisive part ii sony played it safe. ""remaking"" a ps3 classic, what can go wrong? nothing if you don't touch the original product at all and just import graphics from part ii. journos are going to give the game the same rating they did nine years ago and people will happily buy it",392
Text_114,"some time ago there was a good game called the last of us, then they sold us a remaster for ps4, then they ruined the series with part two and then they adjusted the story so that part 2 was not incongruous with part one and they want to sell us back to full price part one ruined, three times in a row the same game sony we are not your idiots",344
Text_116,"anyone who rates this below a 7/8 isn’t giving you their feedback from a gaming standpoint, it’s an xbot doing it for borderline miserable personality. the game runs better/ looks better than the original and the original is considered one of the best games ever made. you tell me how that warrants a 0 review score. you’re not here to read reviews anyway to make the decision to purchase,",389
Text_124,"phenomenal game enjoyed it from the very beginning till the end, it definitely needed a remake everything looks so crispy, atmosphere is insane and cinematic are immaculate, let the haters hate they don’t know what they talking about!",234
Text_127,"ps3, ps4, ps5, the last of us is and remains a masterpiece. this however, is undoubtably the best version of it.",112
Text_128,thank you everyone at naughty dog and playstation. it was a pleasure to visit this masterpiece. naughty honored this gem with the best way. the last of us part 1 has amazing visuals and improved gameplay. worth every penny i spent and my time. i'll keep playing it until gow ragnarök !,285
Text_129,beautiful story. i love it! incredible gameplay and graphics. crear job for nd!,79
Text_130,"in the name of sony , jim teriyaki , tlou masterpiece of the 21st century

tlou part 1 shows us the real meaning of perfection! i think it's worth 399$ cause why not ? it's the f.....g masterpiece of the 21st century and it's nothing for a rich sony fan. jim teriyaki will revive game sanate industry. feshar bokhor جعبه فن",323
Text_131,great game! this game is a must play. this version is exceptional and is worth playing!,87
Text_132,this is an amazing game! this is an enhanced edition of a top notch game!!!,75
Text_134,"don’t listen to these people trying to bomb a complete masterpiece of a game. if you could only play one version of this game, the last of us part 1 is the way to do it. the amount of detail and options packed in this game are unmatched to anything i’ve played before. sure the price tag is high but it is well worth it! i would have paid double the price to have this gorgeous game on day",389
Text_138,overpriced cash grab. it’s like naughty dog thinks any publicity is good publicity. i’ve yet to play last of us 2 because of the poor storytelling they thought was ok. now they pull this. i’m done with this company.,215
Text_139,"nothing has been changed but graphic, and charge us $70 full price. might be worth to buy it later when the price is dropped to $20, i am sure it will happen soon.",163
Text_140,for 70 bucks i was expecting the gameplay mechanics of the last of us part 2 reworked for the last of us part 1. like the ability to go prone and the 3 different stages of enemy ai. this is just an overpriced remaster. the graphics aren't that much better than the original. . wait for a sale,292
Text_141,not needed remake and the price tag is ridiculous. this game should be at most $40. it feels like watching a movie for a 2nd time where everything is predictable and not impressive as the first time.,199
Text_143,"let’s stop with the nonsense of the 0 scores. we are talking about the second greatest franchise video game history any platform. period . so, just stop.
players and buyers do need to be aware that this is more of a remaster than a remake. if this is your first time playing , or a fan of the series, it’s a no brainer.
if you are more casual fan, you can stick with ps4 remaster there is",388
Text_148,"amazing remake!!! best game ever!!! who hate this game, please, leave us !!!",76
Text_149,this is just a shiny cash grab simple as that. you can literally play this in 4k on a ps4 pro for like 10 bucks. why would you charge 70$ for this,146
Text_152,"sony is essentially trying to re-define the term remake with this obvious cash grab. this is the furthest thing from a remake possible, there is no change in terms of story, world or gameplay mechanics it is nothing more than a fresh coat of paint and some gimmicky ""dualsense features"" tacked on to a 9 year old game that has already been remastered once on the ps4. anyone who willingly",388
Text_156,this should have been a day 1 ps extra tier release. i made the switch to sony after being an xbox kid for the past 21 years....really starting to wonder what all the buzz was about...at least they finally perfected the dualshock controller.,241
Text_157,an absolute waste of effort it is the exact same game as before so if you already have the first game on either ps3 or ps4 do not buy this,138
Text_158,same game with just better graphics? there setting called ultra graphics in pc and its free why 70$ ?,101
Text_160,"theres no need for this to exist, its only damage control from second part that was so bad i will never ever support this company",129
Text_163,"i agree, it's not worth 70 dollars, but game itself is great. can't wait for the pc version, because i think that's the main reason this remake exists. i have been playing original with ps3 emulator on pc and it's playable, but not perfect. hopefully pc version of this remake comes soon, so i don't need to play with emulator anymore.

of course it goes without saying, that this game is",388
Text_169,"really great remake, easy 10/10.
pricing for me is not ideal but that's subjective and shouldn't matter for a score.",116
Text_170,"still top notch!! almost 10 years after its initial release the last of us remains a masterpiece, a game so important and unique that has no match. and it got even better with its new ""coat of paint"". hope we get to see part iii someday!",237
Text_171,"awesome! the emotion i felt before was reborn with the best graphics of the current generation. admire and respect the craftsmanship of naughty dog. the last of us part 1 is the best game, along with the last of us part 2, which has won over 300 ""gotys"". hope you all enjoy it.",277
Text_173,"this is the best way to experience one of the best games of all time! the last of us will always be one of my favourite video games of all time, i’ve fully completed the main story of the original/remaster around 30 times, and put over 400 hours into tlou remastered, and as someone who’s played the game so much i can tell just how much better this remake is in every way. in 2013 naughty",389
Text_177,"""tlou part i"" is really awesome. i was surprised to see the graphics when i first ran it on the ps5. that's amazing. you can play games with this advanced graphics? it's very, very great.",187
Text_178,"incredible graphics and performance, enhanced motion and action, dynamic movement, all of which beat the original. it's the best. i hope you enjoy it.",150
Text_179,it's just a better version of an absolutely amazing game! one of the best looking games i have ever played! well done naughty dog!,130
Text_181,"after months of rumors and speculations regarding a remake for the last of us, i must be honest, the last of us part i works in a spectacular way a remake should be. say what you wanna say about the remake because there is something that the last of us did right when updating its atmosphere to the next level that we all know and love. all environments have been reworked beautifully with",389
Text_185,"good. ""remake"". the best remake, if the story has been changed, new boss, or new features, it's not the last of us!! he would have been incredibly slanderous.",158
Text_187,amazing comeback to this masterpiece with those graphic :) absolutly love that,78
Text_188,"sad review bombing because they have nothing else better to do. not suew if it worth 70, but it is an amazing game.",115
Text_191,"probably the weirdest remake in this decade . to be honest its not full remake to me , of course there are several upgrades but nothing changed in gameplay/story and whats bad is factions was removed . the remake is good but not for 70$ most of the people bomb this game because of the price . its good remake but not for 70$ . if price would be 50$ people wouldnt bomb it .
after all this",389
Text_196,"from a outdated game. to a modern game

all the cutscenes hit harder now. gameplay is modern now. some levels were broken in the original. they all feel different now. stalkers were broken in original. now they are great. shooting is better. but not as detailed as part ii. ai is completely rebuilt but it's not in par with part ii and it has some annoying issues. and buddies still walk",387
Text_1,the only advantage to the original and the remastered one was graphics no upgrades in the gameplay or the story it's like tlou 2 dlc shame.,139
Text_4,"$70 for a remaster? the game has not changed in any way, only graphical changes. to parasitize on the feelings of lovers of the original for such a crazy amount is not good. nothing has changed in the game itself, the graphics and everything, even the cutscenes have not changed, the interface is from tlou 2, the workbench is also taken from there. in general, it is not clear how they could",392
Text_8,"metacritic should do sth about this nonsense , everyone who can vote, should at least spend some time in the game or at least buy the game , none of these 000000 s have any idea, what the game has become",203
Text_9,"this is an expensive re-remaster, with half contents, double price, and refusing to replace or refund my damaged item that costed me $100. a little respect to our money is what we want",184
Text_10,unnecessary “remake” in a game that if you have the ps4 version is exactly the same. not worth it,97
Text_11,"if you've played this on a ps3 or ps4, i don't recommend buying it. still stupid ai.",84
Text_13,"will start by saying, no one is forcing you to buy it.

yes, its the same game from before, however it looks and plays amazing even compared side by side even the previous enhanced version for ps4.  if you havent played the game and playing it for the first time in ps5 you are in for a treat. if you played it before i am sure you will enjoy all the details, revamped visuals",378
Text_17,awesome game. don't listen to the hate train. i doubt they've even played the game.,83
Text_18,a remake of a remake of a once brilliant ps3 game. let us not forget this is the same game tlou2 tried its hardest to take a dump on ('deconstruct' if you're a hipster). you tried your hardest to destroy everything special about this game mr druckmann. why would we pay for it yet again? respect the people who buy your games.,326
Text_19,one of the best games ever made.now even better than before !! truly next gen experience on your ps5 :),103
Text_20,"this is literally the same exact game that came out in the last 9 years for the 3rd time. this game should not be $70 and should be no more than $40. go buy the ps4 version because its cheaper and it still looks just as good as the ps5 only version. this is nothing but a cash grab , wait for a sale.",300
Text_21,"this game is just as amazing as it was back when it first came out, now it's looks even better. this is truly a next generation experience that only playstation and naughty dog can deliver.",189
Text_23,"one of the best game in this year even much much improved than last of us remastered. playing this masterpiece again on ps5 is just treat. graphics,environment are just spectacular and eyes got satisfied in every frame of the game. ( and don’t listen those beggars who can’t afford the game and criticise this masterpiece for the price they’re not real gamers so they just brainless internet",391
Text_28,"before the release, the price was very high, but after playing it...i think 80,000 won is such a great remake that i feel sorry for you.i'm very satisfied
graphics, sound, convenience...
among them, dual sense is the best i've done a lot of laoist remasters in pls 3 and pls 4 and pls 5 (multi is still in pls 5), but some ps uggs say, ""i don't like graphics. i've done it myself, and it's a",391
Text_32,"man, onlyonehere is most annoying reviewer who rate 0 on almost every games including masterpiece games.. smh.. by the way, this game has mindblowing graphic especially character model, environments, atmosphere despite gameplay is like closer to tlou original on ps3 version.. story is top notch,, dualsense feel great. no loading times",336
Text_33,"best game on ps3 best game on ps4, now thes best game on ps5, easily worth every penny.",87
Text_34,"one of, if not the best story telling in a video game polished to perfection. worth replaying as a seasoned gamer and a must for newcomers. this is the definitive version and it’s immaculate.",191
Text_35,"this is the best way to experience one of the best games of all time! the last of us will always be one of my favourite video games of all time, i’ve fully completed the main story of the original/remaster around 30 times,",222
Text_36,"maliciously, deliberately giving zero points is a very, very bad act. it can be almost a bad anti. i want you to think about it.",128
Text_37,"in my opinion, tha last of us is the best game ever made and now it's available with upgraded gameplay , awesome sounds and great graphic. it's the best graphic that i've ever seen. i'm speechless about facial animations",220
Text_38,"an upgrade to an already great game, it’s one of the best games ever and with all the visual and gameplay enhancements it makes this game a must play for anyone who has a ps5. don’t listen to the hate, this is a great game you’re getting here.",243
Text_39,"love it, the improved graphics mechanics and accessibility is awesome, the negative reviewers are tlou part 2 haters looking for more excuses to now hate on this game.",167
Text_40,"this game is the best game that i have played in my whole life and no matter how much money it cost, i am ready to play it.",123
Text_41,"one of the best released remakes of the game industry, which was really beautiful and eye-catching in all aspects, and extremely attractive and excellent.",154
Text_43,"while this remake didn’t need to exists the game definitely is squeezing so much power out of the ps5 from its graphics to the lighting and other mini details and the duelsense features. it all feels so good and with some last of us 2 elements here, the gameplay is now more improved and less clunky than the remastered or ps4 version and with couple new animations everything feels better",389
Text_47,"the last of us part 1 one of the beat game i played in my life
thank you naughty dog and sony",93
Text_50,"when watching videos and comparissions on youtube, it might looks the same, but when you play it, it's feels like a different game. it's just a thing that you can't judge before you play it. all of the locations and textures are changed, so as weapon animations and mostly important - characters models. it's a huge difference between ps4 pro version and ps5. it's more like comparing",384
Text_54,"amazing game. graphics are very good, animations are so much smoother plus the environments are totally rebuild.",112
Text_58,best story in a video game. not predictable and great facial animations. woud love to see part 3,96
Text_61,goat does it again. say what you will about the director but he knows how to make a good ol dad murder simulator.,113
Text_63,"i have infinite respect for the work of naughty dog. and the way they masterfully embodied a remake of their favorite game is worthy of applause. the gameplay is improved and feels completely different. the visual is incredible, you forget to blink. thank you for making tlou 1 and tlou 2 feel like one seamless story. these are the two best games in the industry. and only out of",380
Text_68,"it's the last of us 1 alright, it's a very good remake, 1-1 on pretty much everything and they didn't change anything that would take away from the game's original identity, in fact, it enhances it.

however, since this was built from the ground up, it could have used tlou2 mechanics.",285
Text_69,its a ps3 game for $70+ lol. no for real 70 dollars for a decade old game. no multi player and u don't get the dlc. morr money for less game. just don't make any sense. just a cash grab,185
Text_71,"the game looks great and runs at 60 fps, but this is where the pluses of the game end and the minuses appear in the form of gameplay that has not changed since the ps3 and the price of $ 70, where does this price come from? what did they make the game from scratch? that seems to be not so where does such a horse price come from? unclear. if you want to play tlou, then play the",379
Text_75,"while i loved the last of us when it released for the ps3 and played the ps4 remaster where it still holds up to this day, the remaster of the ps4 version for the ps5 is not worth the £70 price point!",200
Text_76,"it's a great game, great graphics, original story, great immersion, and it's all on display on ps5. you can give them a low score because they are expensive, but giving them a zero just because they are expensive is absurd and has no objectivity.",246
Text_77,just because it has the same story as the 2013 game is a masterpiece. also the graphics and details improved more than i expected. recommended!!,144
Text_78,malicious haters! shame on you! reflect on yourself! don't live your life like that!,84
Text_79,my favorite game. already passed 2 times. the best graphics on ps5. naughty dog are the gods of the gaming industry.,116
Text_80,solid remake. would have easily been a 9 if they included a remake facctions. would have been a 10 if i can delete playing this game a couple of times already from my memory.,174
Text_87,"i thought i'd wait to review this until i fully finished the story. although in 2013 this game was truly amazing and like nothing that had come before it. it's now 2022 and games have moved on. the mechanic of this game, the combat, level design and general feel, is stuck firmly in the past. the remake isn't a remake at all. it had not been remade from the ground up like naughty dog claim.",392
Text_92,"the best version of the game, awesome graphics, awesome animations, breath taking environments, smooth transitions between gameplay and animations, great touch and feel with the dualsense®, great improvement of lighting, camera options and accessibility features.

if you have never played the game you're in for a treat it is worth the price 100%. if you are like me and have played the",387
Text_97,"bro.....really??? $70 for a game that you made it look pretty amd changed the gunnplay slightly??? like i thought naughty dog would move supplies in different spots to make exploration refreshing and new! but no! it's literally the same stuff!......this game is not worth $70 bucks and i want a **** refund!, if they bring this out on pc, i want it to have totally different or refreshing",388
Text_102,"ok and i am a huge fan of naughty dog and tlou franchise, huge fan! i have played this game on the ps3, ps4 and ps4 pro and the remaster was epic. then this comes along for no reason what so ever! in canada this game is 90 bucks!!!! what are you talking about and its the same game with sharper graphics. the remaster looked incredible and then naughty dog goes this low for a cash grab that",391
Text_106,"this is a remake to one of my favorite games of all time, but there is absolutely no way i can support this. please, for the love of god, do not spend $70 on this game. supporting these practices makes gaming more expensive for everyone.",237
Text_108,"a cowardly ""remake""
naughty dogs ""remake"" of the last of us (part i) is truly a disappointment. the game is literally the same as the old versions, every little thing plays the same, even the positions where the npcs stay, their actions, all the same as the old game. the new thing is just a new shining coat of pretty on the characters to make them look like the fantastic part ii.
people",389
Text_113,"sony corporation, it was not enough for the failure of tlou2, they decided to squeeze all the juice out of this dying franchise, which died after the release of the second part. selling a remaster remaster for the second time for $70-$100 is a complete disrespect to the fans of the first game, which was the only bright spot in this dead franchise, now the last of us, is associated with",388
Text_119,"it’s been well established that a “remake” literally means the game was entirely remade, with different content, like resident evil or final fantasy 7. this is just a well done remaster. even with the facelift and haptics, however, it feels like the same old game. the original ps3 version, at the time, had mind-blowing graphics for that generation of hardware, pushing the console to the",389
Text_123,this is a legal robbery. thank you sony. thank you naughty dog. now i am waiting for god of war 2018 remake.,108
Text_130,great game. probably the best looking game ever and defiantly the best way to play last of us part 1. if your hesitant just play the remaster for free on ps plus.,162
Text_132,"the horrible last of us part ii has sullied this original story forever. how could anybody enjoy playing this story now knowing what happens in the sequel? while not a bad game, the last of us was always overrated and pretentious anyway and undeserving of the hype. the new visuals might be somewhat of an upgrade but lose the look, feel and charm of the original. so why but this version at",391
Text_136,"simply one of the best games in history to the nth degree, perhaps it was not needed, but reliving this masterpiece in this way is another story",144
Text_138,"due to the mindless review bombs, i gave this game a 10. metacritic should really have a verified purchases where you actually have to play the game to review it. this is the definitive version to play the game, while the price is pretty steep, it beats the original in every single aspect. anyone who says otherwise simply did not play it. the cold truth is that people don’t remember how",389
Text_144,this is not a remake its a visually impressive remaster from gameplay it is the exact game launched in 2013 and relaunched in 2014 almost nothing gameplay-wise has changed but the combat is smoother to play. the ai has not improved at all and at times it acts worse than the ps3 version with no updates but the visuals for everything look amazingly well done with the new textures and,384
Text_149,"i played this game on ps3 2 times , ps4 (remastered) 5 times and now on ps5 1 time and the question everyone is asking, is it worth it to spend full prize even though you already have played it several times before? and the answer is without doubt yes. if you love the first last of us game like i do you really need to play this, because it’s gonna be the best last of us experience you will",392
Text_153,"yeah the price is quite expensive, but beeing objective this is the last of us, and for a person that has not played the game, this remake is the definitive experience of one of the greatest games of all time",208
Text_154,"appreciate those who deliver a good product made from scratch outside their comfort zone, not those who lie to earn easy money!",127
Text_155,"neil druckmann is not comfortable with the idea of a new entry to the series he himself allowed to be destroyed, so he decided to make a literal remake of a game two generations older. give me a **** break.",206
Text_156,great remake but not worth 70$ and this is coming from a hardcore fan if the franchise i’d give it an 8 but seeing the review bombs i’ll raise it to a 10,153
Text_157,"this is the most impressive, groundbreaking, passionate, amazing remaster of all time. a 70-dollar remake!? no!",111
Text_158,"do you like jolf?
yes is
just buy it and pay such high money
dont forget what neil druckmann or anita do
f*** u all as*****",123
Text_160,"don't let the review bombers fool you. this game is an excellent remake of an already excellent game. no gameplay changes, but has the same graphical style as last of us 2, the fully redone cutscenes with motion capture really helps with the facial expressions of characters (as opposed to the computer animated facial animations from the original version), the haptic feedback and adaptive",390
Text_171,"having played the remaster many times over i knew what i was getting into story wise and content wise. that said, the extra work done with the accessibility features is phenomenal to allow others the chance to experience what is a phenomenal game. the biggest improvement for me is actually the audio. the rebuilt audio coupled with a really good headset brings the experience of playing this",392
Text_175,"this is a cash-grab. who was this made for? i mean is not even a few years since this game's last remake. is not even that innovative in this day and age as a storytelling or gameplay mechanics department, so i don't get the 10 in the reviews.",243
Text_176,nothing but a cash grab! and i fell for it. so disappointed in both sony and nd,79
Text_180,"remake after remake after remake with the same price. wow!naughty dog is losing their ability to create a truly good and new story. after tlous2, they already know that this ip is ruined.",187
Text_183,perhaps the most overrated game of all time is now getting the most overrated and overpriced remake of all time. this isn't a aaa remake like resident evil 2 this is just a blatant cash grab with pay 2 win for buying the more expensive editions. naughty dog needs to learn some humility and dignity from developers like capcom who give high quality next gen upgrades for free.,376
Text_184,i would give a 10 but 70 dollars is too much. the gameplay and graphics are a good reason to play again if you haven't in recent years.,135
Text_188,"playstation 5

it's a complete disgrace!

it has only name the machine is empty

nothing but old games

i'm very regretful

sony is fooling us all
disgraceful machine

trick game",178
Text_194,game has a lot of bugs and due to the mid story crash for some reason i have to restart my game progress for 70$ for a remake of a remaster i was hoping for bug free. thank god for gamestops refund policy.,205
Text_197,still worth the money. you gonna get a fantastic graphic with heart touched cutscenes,85
Text_198,"this is a transparent cash grab. don't buy it, tell naughty dog that we will not be exploited in this vile way!",111
Text_199,"such a good game that improves on everything from the original. felt like a new but familiar experience going through the upgraded areas.
obviously i’d be happy if they made a new game but i’ll take bringing one of my favourite games up to todays level of game design.",268
Text_200,"absolutely pointless remake, missing features an no major gameplay upgrades.

obvious money grab.... smh.",105
Text_202,"they made huge upgrades in terms of graphics, faces details, environments and the enemy ai is also significantly better now. apart from all that game is the same. same set pieces, same abilities and they didn't make the fighting areas bigger. overall this game isn't worth full price at all, in my opinion.",306
Text_203,"this game is incredibly beautiful with graphics , sad story like part 2 but not much, best stealth game i have ever seen. i love this game so much",146
Text_204,the most ridiculous unnecessary remake ever made... do not waste money on this garbage..,88
Text_205,"image quality: resolution priority (4k, 30hz)
performance: resolution and frame rate balance i've tried both of them
if it's performance mode, it's like laoer's part 2.
if i do it in resolution mode... wow, this is awesome.",223
Text_206,"tlou part 1 is an all-time masterpiece with a well-deserved graphics update. the game looks stunning.
i agree that the price might be high, especially for the owners of previous game versions. but the enjoyment of playing my favorite game with such fantastic graphics justify the price for me.
i just envy people who plays tlou 1 for the first time with this new version.",371
Text_207,after playing tlou2 that overtook the first one as my favourite game of all time. this re-make really improves on the visual and the gameplay of the first which had pulled it back into the top spot for me. the perfect story with near perfect gameplay and visuals. couldn’t have asked for anything more,301
Text_208,"a great example of what a remake should be, the price point is a little much but for what’s been redone i think it’s worth the price. a masterpiece",147
Text_215,"reflect on those who write indiscriminately hateful and malicious comments. not everyone can be happy. but that doesn't mean that people who enjoy playing games don't have to be slandered, criticized, or insulted. reflect on yourself.",234
Text_217,"this masterpiece from naughty dog remains an achievement that very few other games can stand amongst. now on the ps5, playing and looking better than ever. worth is subjective, it shouldn’t define quality, and quality is in abundance here. long live naughty dog and this brilliant franchise",290
Text_218,"challenging, and enjoyable as it always has been. the visuals details are magnificent as is the audio!, if you have never had the chance to play the last of us part 1 this is for you!.",184
Text_219,"i'm a big xbox fan but we don't have games because phil spencer lies to the end. halo is bad, forza is dead. sony makes the best games",134
Text_226,this game is a masterpiece for those who wanted to have a challenge and also test their emotions,96
Text_2,"the best game ever made.
we all know that the price is high but since the quality with this level we have no issues.

thank you",127
Text_3,the best game i played and it was free for 70 dollars the best game i played and it was free for 70 dollars,107
Text_7,"this game is great, the graphics, the playability and above all the story that it tells us, it is very realistic, and what can i say about the characters, them and joel, they are so endearing.",192
Text_11,"while the price for this remake is high there is no way that this game is objectively a zero like many other people are rating it. everything has been completely redone while still remaining true to the original experience. however, by far the largest change is the adjustments to ai. playing through on hard difficulty, the game is much more difficult due to the ai improvements. human",386
Text_16,"it is a master piece. we already know that, and part 1 shouldn't be judged by the endless curse of haters in part 2",115
Text_17,"+very good storytelling
+ deep characterization of the characters
+ diverse and exciting combat system
+ efficient construction and upgrade mechanics
+ eye-catching and stunning visual effects
+ catchy music",207
Text_19,"a lazy cash grab wrapped up in the emperor’s new clothes. £70 for any new game is egregious, but here it is daylight robbery.",125
